Date,Open,High,Low,Close,Volume,M2NS
2010-01-01,1116.56,1150.45,1071.59,1073.87,50526433334.0,8464.4
2010-02-01,1073.89,1112.42,1044.5,1104.49,46978522223.0,8508.4
2010-03-01,1105.36,1180.69,1105.36,1169.43,57601972221.0,8576.6
2010-04-01,1171.23,1219.8,1170.69,1186.69,64856616666.0,8601.8
2010-05-01,1188.58,1205.13,1040.78,1089.41,70923766664.0,8584.2
2010-06-01,1087.3,1131.23,1028.33,1030.71,61170416668.0,8606.4
2010-07-01,1031.1,1120.95,1010.91,1101.6,52654505553.0,8576.9
2010-08-01,1107.53,1129.24,1039.7,1049.33,47632361110.0,8607.7
2010-09-01,1049.72,1157.16,1049.72,1141.2,44216361108.0,8649.5
2010-10-01,1143.49,1196.14,1131.87,1183.26,49742372224.0,8710.4
2010-11-01,1185.71,1227.08,1173.0,1180.55,48417261112.0,8775.5
2010-12-01,1186.6,1262.6,1186.6,1257.64,44991405555.0,8857.6
2011-01-01,1257.62,1302.67,1257.62,1286.12,51202744443.0,8850.0
2011-02-01,1289.14,1344.07,1289.14,1327.22,32902033335.0,8887.1
2011-03-01,1328.64,1332.28,1249.05,1325.83,49726466668.0,9000.6
2011-04-01,1329.48,1364.56,1294.7,1363.61,42980449999.0,9055.6
2011-05-01,1365.21,1370.58,1311.8,1345.2,45393877781.0,9025.6
2011-06-01,1345.2,1345.2,1258.07,1320.64,47845961112.0,9113.9
2011-07-01,1320.64,1356.48,1282.86,1292.28,45056761113.0,9266.6
2011-08-01,1292.59,1307.38,1101.54,1218.89,60232872223.0,9461.8
2011-09-01,1219.12,1229.29,1114.22,1131.42,57103788887.0,9500.3
2011-10-01,1131.21,1292.66,1074.77,1253.3,54479816667.0,9550.1
2011-11-01,1251.0,1277.55,1158.66,1246.96,46819472221.0,9633.1
2011-12-01,1246.91,1269.37,1202.37,1257.6,41523572223.0,9729.2
2012-01-01,1258.86,1333.47,1258.86,1312.41,44204199999.0,9761.9
2012-02-01,1312.45,1378.04,1312.45,1365.68,43547616666.0,9787.0
2012-03-01,1365.9,1419.15,1340.03,1408.47,46610922225.0,9903.1
2012-04-01,1408.47,1422.38,1357.38,1397.91,41534283333.0,9948.9
2012-05-01,1397.86,1415.32,1291.98,1310.33,48289161111.0,9882.9
2012-06-01,1309.87,1363.46,1266.74,1362.16,45323577778.0,9960.8
