Date,CPI,E INFL,GDP growth,retail food services,PPI,Risk Premium,QE,Real interest rate,unemployment,oil,Open,High,Low,Close,Volume,M2NS
2012-12-01,1.741022,2.1029068,3.7501872232916513,408981,1.7,1.1649553,2901149.5,-0.17237745,7.9,109.49,1416.34,1448.0,1398.11,1426.19,36882322222.0,10531.4
2013-01-01,1.594865,1.3155854,4.322068885312511,412420,1.8,1.2165788,2966026.0,0.08440142,8.0,112.96,1426.19,1509.94,1426.19,1498.11,42138061110.0,10506.6
2013-02-01,1.977924,1.3608065,4.495241706725929,417383,2.7,1.2050741,3068737.5,0.17210018,7.7,116.05,1498.11,1530.94,1485.01,1514.68,38485266666.0,10480.0
2013-03-01,1.473896,1.0049408,-0.002187933956331989,414116,-0.2,1.153486,3170836.25,0.05034072,7.5,108.47,1514.68,1570.28,1501.48,1569.19,38070616668.0,10626.9
2013-04-01,1.063085,1.4563149,-1.0560369045750715,412015,-0.2,1.1647183,3264238.0,-0.02421188,7.6,102.25,1569.18,1597.57,1536.03,1597.57,42832222222.0,10655.8
2013-05-01,1.361965,1.1780254,0.8996663966591245,414466,2.2,1.1759681,3355983.8,-0.01939123,7.5,102.56,1597.55,1687.18,1581.28,1630.74,42470694447.0,10578.7
2013-06-01,1.754417,1.3532103,1.8885644757772229,415550,4.5,1.2359215,3440056.75,0.22769375,7.5,102.92,1631.71,1654.19,1560.33,1606.28,41637105556.0,10643.3
2013-07-01,1.960682,1.0030329,2.981096656001723,418500,4.3,1.292494,3536213.8,0.54638104,7.3,107.93,1609.78,1698.78,1604.57,1685.73,37837122221.0,10682.3
2013-08-01,1.518368,1.797427,5.053779217402221,417575,1.5,1.2864123,3630451.5,0.47506869,7.2,111.28,1689.42,1709.67,1627.47,1632.97,36001561112.0,10738.0
2013-09-01,1.184925,2.202423,4.650771211885319,417861,-0.5,1.3064023,3693106.75,0.54083451,7.2,111.6,1635.95,1729.86,1633.41,1681.55,36763561110.0,10805.9
2013-10-01,0.9636127,1.5555239,3.421209916153604,419434,-1.0,1.2680435,3800415.6,0.49296942,7.2,109.08,1682.41,1775.22,1646.47,1756.54,42581888889.0,10933.0
2013-11-01,1.237072,1.4505754,1.8410008255315196,420688,-0.6,1.2602462,3897885.75,0.48963774,6.9,107.79,1758.7,1813.55,1746.2,1805.81,35348994444.0,10977.2
2013-12-01,1.501736,1.9240314,-2.7714607783596334,422955,0.5,1.2365995,3991804.5,0.41829993,6.7,110.76,1806.55,1849.44,1767.99,1848.36,36088233332.0,11104.3
2014-01-01,1.578947,1.6382453,-4.447324210806261,419245,1.3,1.2914453,4064681.0,0.68063671,6.6,108.12,1845.86,1850.84,1770.45,1782.59,42151061111.0,11101.6
