Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-10-14,162.68,164.47,160.02,164.18,220377778
1984-10-21,164.18,169.62,163.71,167.96,337033333
1984-10-28,167.96,168.36,164.93,165.29,245311111
1984-11-04,165.29,167.95,164.67,167.42,252444444
1984-11-11,167.42,170.41,167.33,167.6,260516667
1984-11-18,167.65,167.65,164.09,164.1,202227777
1984-11-25,164.1,166.92,163.03,166.92,171388888
1984-12-02,166.92,166.92,162.99,163.58,228738888
1984-12-09,163.58,163.91,161.76,162.26,246005555
1984-12-16,162.26,163.53,161.54,162.69,231111112
1984-12-23,162.69,169.03,162.44,165.51,329172223
1984-12-30,165.51,166.93,165.5,166.26,138566666
1985-01-06,166.26,167.34,163.36,163.68,174688889
1985-01-13,163.68,168.72,163.68,167.91,283238889
1985-01-20,167.91,171.94,167.58,171.32,352222223
1985-01-27,171.32,178.16,171.31,177.35,416166667
1985-02-03,177.35,180.27,176.56,178.63,362222222
1985-02-10,178.63,182.39,177.75,182.19,370444444
1985-02-17,182.19,183.95,179.45,181.6,335444445
1985-02-24,181.6,182.1,179.23,179.36,225711111
1985-03-03,179.36,183.89,178.13,183.23,306799999
1985-03-10,183.23,183.41,179.07,179.1,302161111
1985-03-17,179.1,180.14,176.53,176.53,270694444
1985-03-24,176.53,180.22,176.53,179.04,286611110
1985-03-31,179.04,180.66,177.85,180.66,258972221
1985-04-07,180.66,181.86,178.29,179.03,207772221
1985-04-14,179.03,180.91,177.86,180.54,259311111
1985-04-21,180.54,182.56,180.19,181.11,253816666
1985-04-28,181.11,183.61,180.25,182.18,268666666
1985-05-05,182.18,182.34,178.35,180.08,280461111
1985-05-12,180.08,184.74,179.82,184.28,299138889
1985-05-19,184.28,187.94,183.65,187.42,285172221
1985-05-26,187.42,189.98,187.29,188.29,313816666
1985-06-02,188.29,189.59,187.09,189.55,238633333
1985-06-09,189.55,191.29,188.88,189.68,333961110
1985-06-16,189.68,189.68,185.03,187.1,271016667
1985-06-23,187.1,189.66,185.97,189.61,283483334
1985-06-30,188.77,191.85,187.84,191.85,287650000
1985-07-07,191.85,192.67,191.17,192.52,204466666
